Sort order,Dog_Name,Dog_Breed,Location_masked,Latitude_masked,Latitude_masked,Longitude_masked,Neighborhood,
1385,Bugsy,Pit Bull Mix,"(42.368831, -71.09178586)","42.368831, ",42.368831,-71.09178586,Wellington-Harrington,
4814,Midnight,Miniature Pinscher,"(42.368312, -71.11046294)","42.368312, ",42.368312,-71.11046294,Mid-Cambridge,
4471,Kepler,German Shepherd Mix,"(42.368221, -71.11575403)","42.368221, ",42.368221,-71.11575403,Riverside,
3735,Isis,Staffordshire Terr Mix,"(42.367094, -71.08258156)","42.367094, ",42.367094,-71.08258156,East Cambridge,
4478,Harry,Terrier,"(42.366652, -71.09520942)","42.366652, ",42.366652,-71.09520942,The Port,
3014,Luna,Siberian Husky,"(42.364537, -71.11089141)","42.364537, ",42.364537,-71.11089141,Riverside,
3636,Keiko,Cocker Spaniel,"(42.361787, -71.11000938)","42.361787, ",42.361787,-71.11000938,Cambridgeport,
1489,Kiara,Vizsla,"(42.360613, -71.106401)","42.360613, ",42.360613,-71.106401,Cambridgeport,
823,Pemi,Samoyed,"(42.358643, -71.10631172)","42.358643, ",42.358643,-71.10631172,Cambridgeport,
1121,Phoebe,Golden Retriever,"(42.358635, -71.10456006)","42.358635, ",42.358635,-71.10456006,Cambridgeport,
648,Sebastian,Lhasa Apso,"(42.357711, -71.11057565)","42.357711, ",42.357711,-71.11057565,Cambridgeport,
2812,Shadow,Lab/Shep,"(42.357451, -71.10810944)","42.357451, ",42.357451,-71.10810944,Cambridgeport,
1317,Domino,Boston Terr,"(42.356446, -71.1111331)","42.356446, ",42.356446,-71.1111331,Cambridgeport,
5046,Nellie,Coonhound Mix,"(42.4043785, -71.13459909)","42.4043785,",42.4043785,-71.13459909,North Cambridge,
4549,Gunner,Cocker Spaniel,"(42.4031883, -71.13420255)","42.4031883,",42.4031883,-71.13420255,North Cambridge,
1680,Mitzie,Aust Labradoodle,"(42.4017893, -71.13355877)","42.4017893,",42.4017893,-71.13355877,North Cambridge,
1314,Wesley,Bearded Collie,"(42.4015832, -71.15086916)","42.4015832,",42.4015832,-71.15086916,North Cambridge,
3707,Kane,American Bully,"(42.4008162, -71.15072938)","42.4008162,",42.4008162,-71.15072938,North Cambridge,
3088,Max,Labrador Retriever,"(42.4003802, -71.15343975)","42.4003802,",42.4003802,-71.15343975,North Cambridge,
1800,Copper,Shetland Sheepdog,"(42.4001152, -71.15338196)","42.4001152,",42.4001152,-71.15338196,North Cambridge,
1432,Bosco,Labrador Retriever,"(42.3993408, -71.13968564)","42.3993408,",42.3993408,-71.13968564,North Cambridge,
3456,Sonny,Border Collie Mix,"(42.3990241, -71.13191694)","42.3990241,",42.3990241,-71.13191694,North Cambridge,
4889,Kramer,Yorksire Terrier,"(42.3988923, -71.13134545)","42.3988923,",42.3988923,-71.13134545,North Cambridge,
2192,Ziggy,Bichon Frise,"(42.3986758, -71.1314409)","42.3986758,",42.3986758,-71.1314409,North Cambridge,
2778,Blu,Italian Mastiff,"(42.3985541, -71.13637153)","42.3985541,",42.3985541,-71.13637153,North Cambridge,
2587,Lotus,Cane Corso,"(42.3981796, -71.13452099)","42.3981796,",42.3981796,-71.13452099,North Cambridge,
3081,Pancake,Jack Russell Terrier Mix,"(42.3979406, -71.13059662)","42.3979406,",42.3979406,-71.13059662,North Cambridge,
3160,Dash,Silky Terrier,"(42.3977142, -71.13436723)","42.3977142,",42.3977142,-71.13436723,North Cambridge,
1384,Geeta,Lab Mix,"(42.3975203, -71.13331884)","42.3975203,",42.3975203,-71.13331884,North Cambridge,
4108,Jay,Papillion,"(42.3972388, -71.13414124)","42.3972388,",42.3972388,-71.13414124,North Cambridge,
4754,Barney,Dachshund,"(42.3971297, -71.13436068)","42.3971297,",42.3971297,-71.13436068,North Cambridge,
